Column,Description
Machine_ID,Description for Machine_ID
Factory_ID,Description for Factory_ID
Production_Line,Description for Production_Line
Machine_Type,Description for Machine_Type
Installation_Year,Description for Installation_Year
Temperature_C,Description for Temperature_C
Vibration_mm_s,Description for Vibration_mm_s
Pressure_bar,Description for Pressure_bar
Voltage_V,Description for Voltage_V
Current_A,Description for Current_A
Humidity_Percent,Description for Humidity_Percent
Noise_dB,Description for Noise_dB
RPM,Description for RPM
Torque_Nm,Description for Torque_Nm
Power_kW,Description for Power_kW
Runtime_Hours,Description for Runtime_Hours
Downtime_Hours,Description for Downtime_Hours
Production_Count,Description for Production_Count
Utilization_Percent,Description for Utilization_Percent
Maintenance_Cost_USD,Description for Maintenance_Cost_USD
Ambient_Temperature,Description for Ambient_Temperature
Air_Quality_Index,Description for Air_Quality_Index
Dust_Level,Description for Dust_Level
Failure_Flag,Description for Failure_Flag
Failure_Type,Description for Failure_Type
Days_To_Failure,Description for Days_To_Failure
Criticality_Level,Description for Criticality_Level
Last_Maintenance_Date,Description for Last_Maintenance_Date
Maintenance_Type,Description for Maintenance_Type
Maintenance_Team,Description for Maintenance_Team
Spare_Parts_Replaced,Description for Spare_Parts_Replaced
Timestamp,Description for Timestamp
Day_of_Week,Description for Day_of_Week
Month,Description for Month
Quarter,Description for Quarter
Energy_Consumption_kWh,Description for Energy_Consumption_kWh
Efficiency_Score,Description for Efficiency_Score
Battery_Backup_Status,Description for Battery_Backup_Status
Sensor_Health_Score,Description for Sensor_Health_Score
Predictive_Risk_Score,Description for Predictive_Risk_Score
Remaining_Useful_Life,Description for Remaining_Useful_Life
